"No.","Time","Source","Destination","Protocol","Length","Info"
"46","120.124964914","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"47","130.135184973","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"48","130.135247269","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"49","140.145467635","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"50","140.145529852","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"51","142.336568484","10.0.2.15","10.0.2.5","TCP","74","36850  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552744084 TSecr=0 WS=128"
"52","142.336568625","10.0.2.15","10.0.2.5","TCP","74","42796  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552744084 TSecr=0 WS=128"
"53","142.338098541","10.0.2.15","10.0.2.5","TCP","74","[TCP Out-Of-Order] 36850  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552744084 TSecr=0 WS=128"
"54","142.338208948","10.0.2.15","10.0.2.5","TCP","74","[TCP Out-Of-Order] 42796  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552744084 TSecr=0 WS=128"
"55","142.339865205","10.0.2.5","10.0.2.15","TCP","74","80  >  36850 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=724093 TSecr=2552744084 WS=64"
"56","142.339865305","10.0.2.5","10.0.2.15","TCP","60","443  >  42796 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"57","142.346085979","10.0.2.5","10.0.2.15","TCP","74","[TCP Retransmission] 80  >  36850 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=724093 TSecr=2552744084 WS=64"
"58","142.346168283","10.0.2.5","10.0.2.15","TCP","54","443  >  42796 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"59","142.346623786","10.0.2.15","10.0.2.5","TCP","66","36850  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2552744094 TSecr=724093"
"60","142.346849028","10.0.2.15","10.0.2.5","TCP","66","36850  >  80 [RST, ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2552744094 TSecr=724093"
"61","142.354077980","10.0.2.15","10.0.2.5","TCP","66","[TCP Dup ACK 59#1] 36850  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2552744094 TSecr=724093"
"62","142.354160355","10.0.2.15","10.0.2.5","TCP","66","36850  >  80 [RST, ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2552744094 TSecr=724093"
"63","147.357796643","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","Who has 10.0.2.15? Tell 10.0.2.10"
"64","147.357860283","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","Who has 10.0.2.5? Tell 10.0.2.10"
"65","147.358924083","PcsCompu_c7:0e:1a","PcsCompu_e3:36:61","ARP","60","10.0.2.15 is at 08:00:27:c7:0e:1a"
"66","147.358924163","PcsCompu_88:2b:41","PcsCompu_e3:36:61","ARP","60","10.0.2.5 is at 08:00:27:88:2b:41"
"67","147.396875261","10.0.2.10","216.58.209.66","TLSv1.2","93","Application Data"
"68","147.412571944","216.58.209.66","10.0.2.10","TLSv1.2","93","Application Data"
"69","147.412639310","10.0.2.10","216.58.209.66","TCP","54","48672  >  443 [ACK] Seq=325 Ack=329 Win=64028 Len=0"
"70","150.155786641","PcsCompu_e3:36:61","PcsCompu_c7:0e:1a","ARP","42","10.0.2.5 is at 08:00:27:e3:36:61"
"71","150.155848317","PcsCompu_e3:36:61","PcsCompu_88:2b:41","ARP","42","10.0.2.15 is at 08:00:27:e3:36:61 (duplicate use of 10.0.2.5 detected!)"
"72","152.477791249","PcsCompu_e3:36:61","RealtekU_12:35:00","ARP","42","Who has 10.0.2.1? Tell 10.0.2.10"
"73","152.478535213","RealtekU_12:35:00","PcsCompu_e3:36:61","ARP","60","10.0.2.1 is at 52:54:00:12:35:00"
"74","155.414124179","10.0.2.15","10.0.2.5","TCP","74","48478  >  1723 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757155 TSecr=0 WS=128"
"75","155.414255666","10.0.2.15","10.0.2.5","TCP","74","49904  >  993 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757155 TSecr=0 WS=128"
"76","155.414321659","10.0.2.15","10.0.2.5","TCP","74","54368  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757155 TSecr=0 WS=128"
"77","155.414425995","10.0.2.15","10.0.2.5","TCP","74","58140  >  554 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757155 TSecr=0 WS=128"
"78","155.414426065","10.0.2.15","10.0.2.5","TCP","74","34154  >  139 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757155 TSecr=0 WS=128"
"79","155.414426115","10.0.2.15","10.0.2.5","TCP","74","54108  >  110 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757156 TSecr=0 WS=128"
"80","155.414496627","10.0.2.15","10.0.2.5","TCP","74","54708  >  1720 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757156 TSecr=0 WS=128"
"81","155.414496697","10.0.2.15","10.0.2.5","TCP","74","42812  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757156 TSecr=0 WS=128"
"82","155.414618646","10.0.2.15","10.0.2.5","TCP","74","54196  >  587 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757156 TSecr=0 WS=128"
